2024-05-30 12:20:47 [main] INFO  com.lnt.ptd.redisToDB.Main - Starting the program
2024-05-30 12:31:36 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 17 milliseconds at 2024-05-30T12:31:36.064354600
2024-05-30 12:31:36 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 20 milliseconds at 2024-05-30T12:31:36.065748200
2024-05-30 12:31:36 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 44 milliseconds at 2024-05-30T12:31:36.103935200
2024-05-30 12:31:36 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 65 milliseconds at 2024-05-30T12:31:36.127537900
2024-05-30 12:31:36 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 46 milliseconds at 2024-05-30T12:31:36.145536900
2024-05-30 12:31:36 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 45 milliseconds at 2024-05-30T12:31:36.145536900
2024-05-30 12:31:36 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 58 milliseconds at 2024-05-30T12:31:36.183082200
2024-05-30 12:31:36 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 28 milliseconds at 2024-05-30T12:31:36.206584300
2024-05-30 12:31:36 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 28 milliseconds at 2024-05-30T12:31:36.230337300
2024-05-30 12:31:36 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 26 milliseconds at 2024-05-30T12:31:36.251518100
2024-05-30 12:31:36 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 17 milliseconds at 2024-05-30T12:31:36.285896800
2024-05-30 12:31:37 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 14 milliseconds at 2024-05-30T12:31:37.390530500
2024-05-30 12:31:37 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 15 milliseconds at 2024-05-30T12:31:37.391690900
2024-05-30 12:31:37 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 48 milliseconds at 2024-05-30T12:31:37.436009400
2024-05-30 12:31:37 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 52 milliseconds at 2024-05-30T12:31:37.437018100
2024-05-30 12:31:37 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 51 milliseconds at 2024-05-30T12:31:37.481891800
2024-05-30 12:31:37 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 52 milliseconds at 2024-05-30T12:31:37.482898500
2024-05-30 12:31:37 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 46 milliseconds at 2024-05-30T12:31:37.523079
2024-05-30 12:31:37 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 50 milliseconds at 2024-05-30T12:31:37.524081900
2024-05-30 12:31:37 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 42 milliseconds at 2024-05-30T12:31:37.561606200
2024-05-30 12:31:37 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 27 milliseconds at 2024-05-30T12:31:37.584608700
2024-05-30 12:31:37 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 26 milliseconds at 2024-05-30T12:31:37.605796700
2024-05-30 12:31:37 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 11 milliseconds at 2024-05-30T12:31:37.635058600
2024-05-30 12:31:37 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 18 milliseconds at 2024-05-30T12:31:37.673231600
2024-05-30 12:31:38 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 14 milliseconds at 2024-05-30T12:31:38.735882
2024-05-30 12:31:38 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 14 milliseconds at 2024-05-30T12:31:38.735882
2024-05-30 12:31:38 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 46 milliseconds at 2024-05-30T12:31:38.777034600
2024-05-30 12:31:38 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 27 milliseconds at 2024-05-30T12:31:38.796969300
2024-05-30 12:31:38 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 27 milliseconds at 2024-05-30T12:31:38.796969300
2024-05-30 12:31:38 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 27 milliseconds at 2024-05-30T12:31:38.796969300
2024-05-30 12:31:38 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 60 milliseconds at 2024-05-30T12:31:38.858570200
2024-05-30 12:31:38 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 27 milliseconds at 2024-05-30T12:31:38.876788200
2024-05-30 12:31:38 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 27 milliseconds at 2024-05-30T12:31:38.876788200
2024-05-30 12:31:38 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 11 milliseconds at 2024-05-30T12:31:38.922823800
2024-05-30 12:31:38 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 46 milliseconds at 2024-05-30T12:31:38.923832300
2024-05-30 12:31:38 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 11 milliseconds at 2024-05-30T12:31:38.973497600
2024-05-30 12:31:40 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 15 milliseconds at 2024-05-30T12:31:40.089075100
2024-05-30 12:31:40 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 14 milliseconds at 2024-05-30T12:31:40.090078
2024-05-30 12:31:40 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 51 milliseconds at 2024-05-30T12:31:40.136279200
2024-05-30 12:31:40 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 50 milliseconds at 2024-05-30T12:31:40.157291600
2024-05-30 12:31:40 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 48 milliseconds at 2024-05-30T12:31:40.175554200
2024-05-30 12:31:40 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 64 milliseconds at 2024-05-30T12:31:40.194558100
2024-05-30 12:31:40 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 52 milliseconds at 2024-05-30T12:31:40.226681100
2024-05-30 12:31:40 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 51 milliseconds at 2024-05-30T12:31:40.246686400
2024-05-30 12:31:40 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 28 milliseconds at 2024-05-30T12:31:40.275402700
2024-05-30 12:31:40 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 11 milliseconds at 2024-05-30T12:31:40.276618
2024-05-30 12:31:40 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 20 milliseconds at 2024-05-30T12:31:40.337108600
2024-05-30 12:31:40 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 18 milliseconds at 2024-05-30T12:31:40.382479200
2024-05-30 12:31:41 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 18 milliseconds at 2024-05-30T12:31:41.463710700
2024-05-30 12:31:41 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 18 milliseconds at 2024-05-30T12:31:41.463710700
2024-05-30 12:31:41 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 70 milliseconds at 2024-05-30T12:31:41.524057300
2024-05-30 12:31:41 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 71 milliseconds at 2024-05-30T12:31:41.525057100
2024-05-30 12:31:41 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 78 milliseconds at 2024-05-30T12:31:41.597700800
2024-05-30 12:31:41 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 112 milliseconds at 2024-05-30T12:31:41.631704800
2024-05-30 12:31:41 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 75 milliseconds at 2024-05-30T12:31:41.662929300
